Journey,3.9,0.12,0.44999999999999996,0,0.18,0.75
Super Smash Bros. Brawl,3.8,13.5,5.22,5.32,2.04,26.08
Fire Emblem: Awakening,3.8,0.89,0.45,0.53,0.13,2
Call of Duty: Black Ops II,3.8,28.16,22.1,1.4400000000000002,7.760000000000001,59.44
Drakengard 3,3.8,0.1,0,0.19,0.02,0.3
Grand Theft Auto: Vice City,3.8,8.41,5.49,0.47,1.78,16.15
Sonic Generations,3.8,1.77,1.8299999999999998,0.03,0.53,4.17
Assassin's Creed II,3.8,11.299999999999999,7.92,0.58,2.9799999999999995,22.82
Grand Theft Auto V,3.8,70.38,69.12000000000002,4.17,24.08999999999999,167.76000000000005
Mario Kart DS,3.8,9.81,7.57,4.13,1.92,23.42
Rayman Origins,3.8,1.1300000000000001,1.5700000000000003,0.01,0.45,3.14
Deus Ex: Human Revolution,3.8,1.57,1.3800000000000001,0.09000000000000001,0.44999999999999996,3.4899999999999998
Worms Armageddon,3.8,0.18,0.81,0,0.08,1.06
Puyo Puyo Tetris,3.8,0,0,0.11,0,0.11
Metal Gear Solid V: The Phantom Pain,3.8,1.7800000000000002,1.87,0.71,0.63,5
Wario Land 3,3.8,1.11,0.51,0.34,0.23,2.2
Shin Megami Tensei: Devil Summoner - Soul Hackers,3.8,0.13,0.02,0.5900000000000001,0.02,0.76
Super Paper Mario,3.8,1.98,0.88,0.59,0.32,3.76
Shenmue,3.8,0.52,0.24,0.38,0.04,1.18
Resident Evil 3: Nemesis,3.8,1.3,0.77,1.54,0.11,3.72
Final Fantasy V,3.8,0,0,2.5900000000000003,0.03,2.62
Banjo-Tooie,3.8,0.82,0.36,0.25,0.06,1.49
Call of Duty: Modern Warfare 2,3.8,13.52,8.11,0.46,3.01,25.09
SpongeBob SquarePants: Battle for Bikini Bottom,3.8,3.1500000000000004,1.07,0,0.21,4.42
Tekken Tag Tournament 2,3.8,0.56,0.52,0.15000000000000002,0.18000000000000002,1.42
Grand Theft Auto IV,3.8,11.53,7.6499999999999995,0.5800000000000001,2.7300000000000004,22.47
F.E.A.R.,3.8,0.46,0.30000000000000004,0,0.13,0.8900000000000001
Mass Effect,3.8,1.83,1.3900000000000001,0.03,0.36,3.6100000000000003
Sonic the Hedgehog 2,3.7,4.47,1.2,0.16,0.19,6.03
Professor Layton and the Curious Village,3.7,1.22,2.48,1.03,0.52,5.26
Tomodachi Life,3.7,0.96,2.02,1.89,0.28,5.15
Resident Evil,3.7,2.05,1.16,1.4,0.73,5.34
Splatoon,3.7,1.55,1.15,1.44,0.43,4.57
The Elder Scrolls IV: Oblivion,3.7,4.52,2.12,0.27,0.8700000000000001,7.77
Street Fighter II Turbo,3.7,1.42,0.51,2.1,0.07,4.1
Batman: Arkham Knight,3.7,7.290000000000001,6.210000000000001,0.30000000000000004,2.249999999999999,16.11
Far Cry 3,3.7,2.4699999999999998,3.72,0.12000000000000001,1.1400000000000001,7.470000000000001
Mass Effect 3,3.7,3.11,2,0.06,0.6,5.779999999999999
Saints Row 2,3.7,2.82,1.34,0.04,0.52,4.72
Mario Party 2,3.7,2.56,0.28,2.16,0.02,5
Mario Super Sluggers,3.7,1.51,0,0.29,0.12,1.93
The Legend of Zelda: Oracle of Ages,3.7,0.92,0.53,0.41,0.06,1.92
Mario Party 3,3.7,0.72,0.16,1.01,0.02,1.91
Max Payne 3,3.7,1.5999999999999999,1.78,0.06999999999999999,0.52,3.9899999999999998
The Legend of Zelda: Oracle of Seasons,3.7,0.87,0.52,0.41,0.06,1.86
inFAMOUS 2,3.7,1.05,0.49,0.08,0.23,1.85
Dragon's Dogma,3.7,0.83,0.7,0.79,0.25,2.58
Wii Sports,3.7,124.47,87.06,11.31,25.380000000000003,248.21999999999997
Xenosaga Episode I: Der Wille zur Macht,3.7,0.63,0.49,0.45,0.17,1.74
Ni no Kuni: Wrath of the White Witch,3.7,0.6,0.51,0.21,0.23,1.55
Final Fantasy IV,3.7,0.54,0.05,0.9099999999999999,0.07,1.57
Sly Cooper and the Thievius Raccoonus,3.7,1.03,0.14,0,0.04,1.21
Plants vs. Zombies,3.7,1.3699999999999999,0.15,0,0.11,1.63
Fire Emblem: The Sacred Stones,3.7,0.42,0.16,0.3,0.02,0.89
Mega Man Legends,3.7,0.39,0.26,0.12,0.05,0.83
Marvel vs. Capcom: Clash of Super Heroes,3.7,0.43,0.3,0.1,0.05,0.88
Advance Wars,3.7,0.5,0.19,0,0.01,0.7
Armored Core 3,3.7,0.22,0.17,0.23,0.06,0.67
Super Castlevania IV,3.7,0.32,0.05,0.25,0.01,0.63
Mega Man Zero 2,3.7,0.18,0.07,0.17,0.01,0.43
Asura's Wrath,3.7,0.32999999999999996,0.18,0.06999999999999999,0.07,0.6499999999999999
The Legend of Heroes: Trails of Cold Steel,3.7,0.13,0.09,0.26,0.06,0.53
Mega Man ZX,3.7,0.18,0,0.1,0.02,0.3
Armored Core 4,3.7,0.28,0.01,0.12,0.03,0.45
Tales of Berseria,3.7,0,0,0.33,0,0.33
Yakuza Kiwami,3.7,0,0,0.84,0,0.84
The Legend of Heroes: Trails of Cold Steel II,3.7,0.03,0,0.24,0.01,0.27
Machinarium,3.7,0,0.09,0,0.02,0.11
Call of Duty: Black Ops,3.7,34.019999999999996,17.38,1.18,6.24,58.80000000000001
The Elder Scrolls V: Skyrim,3.7,26.189999999999998,22.98,1.05,7.619999999999998,57.84000000000001
Gears of War 2,3.7,4.15,1.92,0.06,0.64,6.76
Super Mario Sunshine,3.7,8.02,2.52,1.74,0.34,12.62
The Godfather,3.6,0.89,0.03,0.01,0.15,1.09
Wolfenstein: The New Order,3.6,2.480000000000001,3.62,0.1,1.06,7.26
Suikoden,3.6,0.21,0.14,0.21,0.04,0.6
Devil May Cry 4,3.6,1.3800000000000001,0.8,0.5,0.33999999999999997,3.0300000000000002
NBA Jam,3.6,4.109999999999999,0.8500000000000001,0,0.25,5.22
Mega Man 2,3.6,1.86,0.3,0.84,0.02,3.02
GoldenEye 007,3.6,5.8,2.01,0.13,0.15,8.09
Final Fantasy VIII,3.6,2.28,1.72,3.63,0.23,7.86
Ms. Pac-Man,3.6,1.54,0.1,0,0.02,1.65
Uncharted 3: Drake's Deception,3.6,5.54,5.6,0.38,2.12,13.66
Conker's Bad Fur Day,3.6,0.53,0.22,0,0.02,0.77
BioShock 2,3.6,4.6,2.04,0.08,0.82,7.52
Battlefield: Bad Company 2,3.6,3.61,2.67,0.12,0.77,7.16
LittleBigPlanet,3.6,3.44,3.29,0.18000000000000002,1.5899999999999999,8.5
